,size_sq_ft,propertyType,bedrooms,latitude,longitude,localityName,suburbName,cityName,price,companyName,closest_mtero_station_km,AP_dist_km,Aiims_dist_km,NDRLW_dist_km
87,1000,Apartment,2,28.59989357,77.29775238,mayur vihar phase 1,Delhi East,Delhi,25000,Rupak Properties Stock,0.6644372837683321,21.43414450132014,9.530444926465094,8.845708967794168
88,1150,Independent Floor,2,28.64490318,77.29412842,Krishna Nagar,Delhi East,Delhi,30000,Shivam Real Estate,0.39364594138388415,22.786508400731567,12.08698917588891,7.1879820461888695
89,1500,Independent Floor,1,28.64247131,77.28662109,Swasthya Vihar,Delhi East,Delhi,35000,Shivam Real Estate,0.5756306848746557,22.008661660143094,11.386280722460766,6.445847895272744
90,1200,Apartment,2,28.59468079,77.2959137,mayur vihar phase 1,Delhi East,Delhi,32000,Rupak Properties Stock,0.14886207204538865,21.131681686645567,9.154425706944172,9.014390930008007
91,1350,Independent Floor,2,28.63912773,77.29819489,Preet Vihar,Delhi East,Delhi,22000,Shivam Real Estate,0.3952205177233559,22.876711630509263,11.929396794733867,7.58236369299898
92,1750,Independent Floor,2,28.65532875,77.30986786,Anand Vihar,Delhi East,Delhi,40000,Shivam Real Estate,0.8965759989044277,24.67820977479459,13.991885569130456,8.847537577281505
93,1000,Apartment,2,28.59902763,77.29837799,mayur vihar phase 1,Delhi East,Delhi,25000,Rupak Properties Stock,0.6564745530406736,21.47169407354175,9.550775778974707,8.948258896579404
94,1200,Apartment,2,28.59412956,77.29586792,mayur vihar phase 1,Delhi East,Delhi,28000,Rupak Properties Stock,0.13460051411690155,21.11468902684317,9.129825129478961,9.046222117360498
95,1000,Apartment,2,28.59988213,77.29227448,mayur vihar phase 1,Delhi East,Delhi,25000,Rupak Properties Stock,0.6109680056248113,20.913004675440426,9.037506369901429,8.394771850857412
96,1000,Apartment,2,28.59838104,77.29344177,mayur vihar phase 1,Delhi East,Delhi,26000,Rupak Properties Stock,0.4749985085132306,20.985240517673887,9.076769130508547,8.58217385424496
97,700,Independent Floor,2,28.64166451,77.28340912,Swasthya Vihar,Delhi East,Delhi,12000,Aashiyana Real Estate,0.6973128015266749,21.687401755649514,11.109114328674742,6.131262867879173
98,2250,Independent Floor,2,28.63500977,77.29270935,Preet Vihar,Delhi East,Delhi,28000,Aashiyana Real Estate,0.4735292868482831,22.201859656393985,11.225492908518126,7.079730908563772
99,1400,Apartment,3,28.59947395,77.2959137,mayur vihar phase 1,Delhi East,Delhi,32000,Rupak Properties Stock,0.6011004849872648,21.248418120973792,9.346560647150671,8.717939460044668
100,350,Apartment,1,28.64241219,77.28323364,Swasthya Vihar,Delhi East,Delhi,7500,Dream Homez,0.7647248534881635,21.70885295780321,11.159720258083663,6.1145921957588
101,450,Apartment,1,28.64287949,77.28345490000002,Swasthya Vihar,Delhi East,Delhi,8500,Dream Homez,0.7860526607462806,21.751346649182953,11.212889825664272,6.13709469139091
102,360,Independent Floor,1,28.64101219,77.28496552,Swasthya Vihar,Delhi East,Delhi,10000,Dream Homez,0.5350713994345749,21.792253758490997,11.157676663652792,6.283917391783972
103,450,Independent Floor,1,28.64173126,77.28400421,Swasthya Vihar,Delhi East,Delhi,9000,Dream Homez,0.6581611137974464,21.742857691396857,11.153442872889011,6.189444376842048
104,200,Apartment,1,28.6409359,77.2842865,Swasthya Vihar,Delhi East,Delhi,7500,Dream Homez,0.5798828909248894,21.72885875759086,11.106613910090392,6.217643934112598
105,400,Apartment,1,28.64195251,77.28270721,Swasthya Vihar,Delhi East,Delhi,10000,Dream Homez,0.7709365295523536,21.640073907018124,11.087468000434828,6.062690042714222
106,350,Independent Floor,1,28.64115334,77.28474426,Swasthya Vihar,Delhi East,Delhi,7500,Dream Homez,0.5615538671609328,21.779649657932133,11.15458959201386,6.262110577674429
107,250,Independent Floor,1,28.64305115,77.28335571,Swasthya Vihar,Delhi East,Delhi,5500,Dream Homez,0.8065930338098803,21.751199306266688,11.220796801785085,6.1278292613642025
108,900,Independent Floor,3,28.64155388,77.28427124,Swasthya Vihar,Delhi East,Delhi,20000,Dream Homez,0.6256533539104217,21.757611860349613,11.156320681588598,6.215578059198759
109,650,Independent Floor,2,28.64147377,77.28419495,Swasthya Vihar,Delhi East,Delhi,13500,Dream Homez,0.6251500228030328,21.74700405414198,11.144732310303183,6.208150842725535
110,450,Independent Floor,1,28.64120102,77.28411102,Swasthya Vihar,Delhi East,Delhi,9000,Dream Homez,0.6116647916322863,21.72633468294845,11.116814745212436,6.200148765996205
111,1400,Independent Floor,3,28.64203453,77.28386688,Swasthya Vihar,Delhi East,Delhi,20000,Aashiyana Real Estate,0.6910121819123034,21.745694234591838,11.169513703448116,6.176118644952832
112,1250,Apartment,4,28.63595581,77.29275513,Preet Vihar,Delhi East,Delhi,40000,Aashiyana Real Estate,0.4195381985742491,22.248010991361827,11.299570976876652,7.073945363847228
113,250,Apartment,1,28.59925461,77.29909515,mayur vihar phase 1,Delhi East,Delhi,15000,Rupak Properties Stock,0.7188522911430909,21.54572139810596,9.625244374277557,8.994683399279179
