,name,details.link,details.line,details.Layout,details.latitude,details.longitude
136,NHPC Chowk,https://en.wikipedia.org/wiki/NHPC_Chowk_metro_station,Violet Line,Elevated,28.45766,77.307422
137,Nirman Vihar,https://en.wikipedia.org/wiki/Nirman_Vihar_(Delhi_Metro),Blue Line branch,Elevated,28.6377,77.288947
138,Noida City Centre,https://en.wikipedia.org/wiki/Noida_City_Centre_(Delhi_Metro),Blue Line,Elevated,28.5747,77.3561
139,Noida Electronic City,https://en.wikipedia.org/wiki/Noida_Electronic_City_metro_station,Blue Line,Elevated,28.630863,77.375475
140,Noida Sector 15,https://en.wikipedia.org/wiki/Noida_Sector_15_(Delhi_Metro),Blue Line,Elevated,28.584936,77.311757
141,Noida Sector 16,https://en.wikipedia.org/wiki/Noida_Sector_16_(Delhi_Metro),Blue Line,Elevated,28.578549,77.317454
142,Noida Sector 18,https://en.wikipedia.org/wiki/Noida_Sector_18_(Delhi_Metro),Blue Line,Elevated,28.570813,77.326112
143,Noida Sector 34,https://en.wikipedia.org/wiki/Noida_Sector_34_(Delhi_Metro),Blue Line,Elevated,28.58012,77.363404
144,Noida Sector 52,https://en.wikipedia.org/wiki/Noida_Sector_52_metro_station,Blue Line,Elevated,28.586762,77.372901
145,Noida Sector 59,https://en.wikipedia.org/wiki/Noida_Sector_59_metro_station,Blue Line,Elevated,28.606364,77.372809
146,Noida Sector 61,https://en.wikipedia.org/wiki/Noida_Sector_61_metro_station,Blue Line,Elevated,28.59747,77.372273
147,Noida Sector 62,https://en.wikipedia.org/wiki/Noida_Sector_62_metro_station,Blue Line,Elevated,28.617049,77.373619
148,Okhla Bird Sanctuary,https://en.wikipedia.org/wiki/Okhla_Bird_Sanctuary_metro_station,Magenta Line,Elevated,28.552824,77.321563
149,Okhla NSIC,https://en.wikipedia.org/wiki/Okhla_NSIC_metro_station,Magenta Line,Elevated,28.554931,77.263193
150,Okhla Vihar,https://en.wikipedia.org/wiki/Okhla_Vihar_metro_station,Magenta Line,Elevated,28.561183,77.291898
151,Old Faridabad,https://en.wikipedia.org/wiki/Old_Faridabad_metro_station,Violet Line,Elevated,28.41083,77.31139
152,Palam,https://en.wikipedia.org/wiki/Palam_metro_station,Magenta Line,Underground,28.5915,77.0811
153,Panchsheel Park,https://en.wikipedia.org/wiki/Panchsheel_Park_metro_station,Magenta Line,Underground,28.5423663,77.2201153
154,Pandit Shree Ram Sharma,https://en.wikipedia.org/wiki/Pandit_Shree_Ram_Sharma_metro_station,Green Line,Elevated,28.689279,76.951029
